VALUE,BPS_CODE,BPS_NAME,GROUPVEG
431,11060,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland
432,11150,Inter-Mountain Basins Juniper Savanna,Conifer
433,11230,Columbia Plateau Steppe and Grassland,Grassland
434,11240,Columbia Plateau Low Sagebrush Steppe,Shrubland
436,11260,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland
437,11270,Inter-Mountain Basins Semi-Desert Shrub-Steppe,Shrubland
438,11340,Columbia Basin Foothill and Canyon Dry Grassland,Grassland
439,11350,Inter-Mountain Basins Semi-Desert Grassland,Grassland
440,11390,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland
441,11400,Northern Rocky Mountain Subalpine-Upper Montane Grassland,Grassland
442,11420,Columbia Basin Palouse Prairie,Grassland
443,11450,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland
444,11530,Inter-Mountain Basins Greasewood Flat,Shrubland
445,11540,Inter-Mountain Basins Montane Riparian Systems,Riparian
446,11590,Rocky Mountain Montane Riparian Systems,Riparian
447,11600,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian
448,11610,Northern Rocky Mountain Conifer Swamp,Conifer
449,11660,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer
450,11670,Rocky Mountain Poor-Site Lodgepole Pine Forest,Conifer
453,10090,Northwestern Great Plains Aspen Forest and Parkland,Hardwood
462,10490,Rocky Mountain Foothill Limber Pine-Juniper Woodland,Conifer
469,10810,Inter-Mountain Basins Mixed Salt Desert Scrub,Shrubland
477,11430,Rocky Mountain Alpine Fell-Field,Grassland
478,11440,Rocky Mountain Alpine Turf,Grassland
486,11662,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland-Fire-maintained Savanna,Conifer
491,10160,Colorado Plateau Pinyon-Juniper Woodland,Conifer
492,10190,Great Basin Pinyon-Juniper Woodland,Conifer
493,10200,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,Conifer
494,10520,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Conifer
495,10540,Southern Rocky Mountain Ponderosa Pine Woodland,Conifer
496,10610,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,Hardwood-Conifer
505,10910,Sonoran Mid-Elevation Desert Scrub,Shrubland
508,11030,Great Basin Semi-Desert Chaparral,Shrubland
510,11070,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,Shrubland
512,11090,Sonoran Paloverde-Mixed Cacti Desert Scrub,Shrubland
522,11550,North American Warm Desert Riparian Systems,Riparian
523,11552,North American Warm Desert Riparian Systems-Stringers,Riparian
528,10230,Madrean Encinal,Conifer
530,10250,Madrean Pinyon-Juniper Woodland,Conifer
535,10880,Sonora-Mojave Mixed Salt Desert Scrub,Shrubland
536,10900,Sonoran Granite Outcrop Desert Scrub,Shrubland
538,11040,Mogollon Chaparral,Shrubland
542,11210,Apacherian-Chihuahuan Semi-Desert Grassland and Steppe,Grassland
547,10080,North Pacific Oak Woodland,Hardwood
548,10150,California Coastal Redwood Forest,Conifer
549,10210,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,Conifer
550,10220,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,Conifer
551,10270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Conifer
552,10280,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Conifer
553,10290,Mediterranean California Mixed Oak Woodland,Hardwood
554,10300,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,Conifer
555,10310,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,Conifer
556,10320,Mediterranean California Red Fir Forest,Conifer
557,10330,Mediterranean California Subalpine Woodland,Conifer
558,10390,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Conifer
560,10440,Northern California Mesic Subalpine Woodland,Conifer
561,10960,California Maritime Chaparral,Shrubland
562,10970,California Mesic Chaparral,Shrubland
563,10980,California Montane Woodland and Chaparral,Shrubland
564,10990,California Xeric Serpentine Chaparral,Shrubland
565,11050,Northern and Central California Dry-Mesic Chaparral,Shrubland
566,11130,California Coastal Live Oak Woodland and Savanna,Hardwood
567,11140,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,Hardwood
568,11280,Northern California Coastal Scrub,Shrubland
569,11300,California Mesic Serpentine Grassland,Grassland
570,11310,California Northern Coastal Grassland,Grassland
571,11370,Mediterranean California Subalpine Meadow,Grassland
572,11380,North Pacific Montane Grassland,Grassland
573,11520,California Montane Riparian Systems,Riparian
574,11630,Pacific Coastal Marsh Systems,Riparian
575,11700,Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,Conifer
576,11770,California Coastal Closed-Cone Conifer Forest and Woodland,Conifer
580,10170,Columbia Plateau Western Juniper Woodland and Savanna,Conifer
589,10321,Mediterranean California Red Fir Forest-Cascades,Conifer
590,10322,Mediterranean California Red Fir Forest-Southern Sierra,Conifer
592,10340,Mediterranean California Mesic Serpentine Woodland and Chaparral,Shrubland
593,10431,Mediterranean California Mixed Evergreen Forest-Interior,Conifer
595,10510,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Conifer
596,10581,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland-Wet,Conifer
597,10582,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland-Dry,Conifer
600,10670,Mediterranean California Alpine Fell-Field,Shrubland
601,10710,Sierra Nevada Alpine Dwarf-Shrubland,Shrubland
614,11360,Mediterranean California Alpine Dry Tundra,Grassland
626,10450,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Conifer
629,10531,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna-Mesic,Conifer
630,10532,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna-Xeric,Conifer
657,11650,Northern Rocky Mountain Foothill Conifer Wooded Steppe,Conifer
687,10120,Rocky Mountain Bigtooth Maple Ravine Woodland,Hardwood
697,10801,Inter-Mountain Basins Big Sagebrush Shrubland-Basin Big Sagebrush,Shrubland
698,10802,Inter-Mountain Basins Big Sagebrush Shrubland-Wyoming Big Sagebrush,Shrubland
718,10030,North Pacific Sparsely Vegetated Systems,Sparse
721,10180,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,Conifer
722,10350,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,Conifer
723,10360,North Pacific Hypermaritime Sitka Spruce Forest,Conifer
724,10370,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer
725,10380,North Pacific Maritime Mesic Subalpine Parkland,Conifer
727,10411,North Pacific Mountain Hemlock Forest-Wet,Conifer
728,10412,North Pacific Mountain Hemlock Forest-Xeric,Conifer
729,10420,North Pacific Mesic Western Hemlock-Silver Fir Forest,Conifer
735,10600,East Cascades Oak-Ponderosa Pine Forest and Woodland,Conifer
736,10630,North Pacific Broadleaf Landslide Forest and Shrubland,Hardwood
738,10680,North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,Shrubland
740,10830,North Pacific Avalanche Chute Shrubland,Shrubland
741,10840,North Pacific Montane Shrubland,Shrubland
743,11200,Willamette Valley Upland Prairie and Savanna,Hardwood
750,11560,North Pacific Lowland Riparian Forest and Shrubland,Riparian
751,11570,North Pacific Swamp Systems,Riparian
752,11581,North Pacific Montane Riparian Woodland and Shrubland-Wet,Riparian
753,11582,North Pacific Montane Riparian Woodland and Shrubland-Dry,Riparian
756,11710,North Pacific Alpine and Subalpine Dry Grassland,Grassland
757,11730,North Pacific Wooded Volcanic Flowage,Conifer
758,11740,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,Conifer
759,11780,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,Conifer
819,10580,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,Conifer
848,11720,Sierran-Intermontane Desert Western White Pine-White Fir Woodland,Conifer
852,10070,Western Great Plains Sparsely Vegetated Systems,Sparse
855,10454,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Lodgepole Pine,Conifer
862,10850,Northwestern Great Plains Shrubland,Shrubland
864,11170,Southern Rocky Mountain Ponderosa Pine Savanna,Conifer
869,11410,Northwestern Great Plains Mixedgrass Prairie,Grassland
871,11480,Western Great Plains Sand Prairie,Grassland
875,11620,Western Great Plains Floodplain Systems,Riparian
876,13850,Western Great Plains Wooded Draw and Ravine,Shrubland
877,14950,Western Great Plains Depressional Wetland Systems,Riparian
882,10500,Rocky Mountain Lodgepole Pine Forest,Conifer
894,10861,Rocky Mountain Lower Montane-Foothill Shrubland-No True Mountain Mahogany,Shrubland
895,10862,Rocky Mountain Lower Montane-Foothill Shrubland-True Mountain Mahogany,Shrubland
910,10140,Central and Southern California Mixed Evergreen Woodland,Hardwood
915,10430,Mediterranean California Mixed Evergreen Forest,Conifer
920,11120,California Central Valley Mixed Oak Savanna,Hardwood
922,11290,California Central Valley and Southern Coastal Grassland,Grassland
924,11510,California Central Valley Riparian Woodland and Shrubland,Riparian
941,10920,Southern California Coastal Scrub,Shrubland
949,11100,Southern California Dry-Mesic Chaparral,Shrubland
953,11180,Southern California Oak Woodland and Savanna,Hardwood
976,10570,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,Conifer
977,10611,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland-Low Elevation,Hardwood-Conifer
978,10612,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland-High Elevation,Hardwood-Conifer
988,11020,Colorado Plateau Pinyon-Juniper Shrubland,Conifer
990,11071,Rocky Mountain Gambel Oak-Mixed Montane Shrubland -Continuous,Shrubland
991,11072,Rocky Mountain Gambel Oak-Mixed Montane Shrubland-Patchy,Shrubland
996,11262,Inter-Mountain Basins Montane Sagebrush Steppe-Low Sagebrush,Shrubland
1116,10240,Madrean Lower Montane Pine-Oak Forest and Woodland,Conifer
1122,10590,Southern Rocky Mountain Pinyon-Juniper Woodland,Conifer
1134,11160,Madrean Juniper Savanna,Conifer
1136,11190,Southern Rocky Mountain Juniper Woodland and Savanna,Conifer
1187,10260,Madrean Upper Montane Conifer-Oak Forest and Woodland,Conifer
1194,10770,Chihuahuan Succulent Desert Scrub,Shrubland
1200,11000,Chihuahuan Mixed Desert and Thorn Scrub,Shrubland
1250,10480,Northwestern Great Plains Highland White Spruce Woodland,Conifer
1278,11791,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna-Low Elevation Woodland,Conifer
1279,11792,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna-Savanna,Conifer
1291,14820,Great Plains Prairie Pothole,Grassland
1293,13300,Southern Coastal Plain Dry Upland Hardwood Forest,Hardwood
1294,13350,Atlantic Coastal Plain Dry and Dry-Mesic Oak Forest,Hardwood
1295,13430,Atlantic Coastal Plain Mesic Hardwood Forest,Hardwood
1296,13460,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland,Conifer
1297,13470,Atlantic Coastal Plain Upland Longleaf Pine Woodland,Conifer
1298,13490,East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland,Conifer
1299,13560,Florida Longleaf Pine Sandhill,Conifer
1300,13570,Southern Coastal Plain Mesic Slope Forest,Hardwood
1301,13800,East Gulf Coastal Plain Maritime Forest,Hardwood-Conifer
