VALUE,BPS_CODE,BPS_NAME,GROUPVEG
1576,14210,Central Tallgrass Prairie,Grassland
1577,14440,Eastern Boreal Floodplain,Hardwood
1578,14660,Great Lakes Wooded Dune and Swale,Riparian
1579,14710,Central Interior and Appalachian Floodplain Systems,Riparian
1580,14750,Laurentian-Acadian Floodplain Systems,Riparian
1581,14770,Boreal Acidic Peatland Systems,Riparian
1582,14790,Central Interior and Appalachian Swamp Systems,Riparian
1583,14810,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian
1584,14920,Great Lakes Coastal Marsh Systems,Riparian
1585,14930,Central Interior and Appalachian Shrub-Herbaceous Wetland Systems,Riparian
1586,14940,Laurentian-Acadian Shrub-Herbaceous Wetland Systems,Riparian
1587,15170,Paleozoic Plateau Bluff and Talus,Hardwood-Conifer
1592,13310,Eastern Great Plains Tallgrass Aspen Parkland,Hardwood
1593,13440,Boreal Jack Pine-Black Spruce Forest,Conifer
1597,13652,Boreal White Spruce-Fir-Hardwood Forest-Coastal,Conifer
1598,13653,Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch,Conifer
1604,14200,Northern Tallgrass Prairie,Grassland
1616,13023,Laurentian-Acadian Northern Hardwoods Forest-Northern Sugar Maple-Basswood,Hardwood
1620,13441,Boreal Jack Pine-Black Spruce Forest-Pine Barrens,Conifer
1621,13442,Boreal Jack Pine-Black Spruce Forest-Spruce-Fir,Conifer
1622,13620,Laurentian-Acadian Northern Pine(-Oak) Forest,Hardwood-Conifer
1630,14110,Great Lakes Wet-Mesic Lakeplain Prairie,Riparian
1642,10130,Western Great Plains Dry Bur Oak Forest and Woodland,Hardwood
1644,11500,Western Great Plains Tallgrass Prairie,Grassland
1646,13010,Boreal Aspen-Birch Forest,Conifer
1647,13020,Laurentian-Acadian Northern Hardwoods Forest,Hardwood
1655,14690,Eastern Great Plains Floodplain Systems,Riparian
1687,11790,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna,Conifer
1697,13040,Ozark-Ouachita Dry-Mesic Oak Forest,Hardwood
1698,13080,Crosstimbers Oak Forest and Woodland,Hardwood
1700,13340,Ozark-Ouachita Mesic Hardwood Forest,Hardwood
1701,13640,Ozark-Ouachita Dry Oak Woodland,Hardwood
1702,13670,Ozark-Ouachita Shortleaf Pine-Oak Forest and Woodland,Conifer
1704,13830,Edwards Plateau Limestone Savanna and Woodland,Hardwood
1707,14230,Southeastern Great Plains Tallgrass Prairie,Grassland
1709,14720,Central Interior and Appalachian Riparian Systems,Riparian
1714,15230,Edwards Plateau Dry-Mesic Slope Forest and Woodland,Hardwood
1724,13580,East-Central Texas Plains Southern Pine Forest and Woodland,Conifer
1726,13900,Tamaulipan Mixed Deciduous Thornscrub,Shrubland
1727,13920,Tamaulipan Calcareous Thornscrub,Shrubland
1729,14100,Llano Uplift Acidic Forest-Woodland-Glade,Hardwood
1738,15240,Edwards Plateau Mesic Canyon,Hardwood
1739,15250,Edwards Plateau Riparian,Riparian
1741,13380,Central and South Texas Coastal Fringe Forest and Woodland,Hardwood
1750,14370,Central and Upper Texas Coast Dune and Coastal Grassland,Grassland
1751,14380,Tamaulipan Savanna Grassland,Grassland
1752,14390,South Texas Lomas,Shrubland
1753,14400,Tamaulipan Clay Grassland,Grassland
1754,14420,South Texas Sand Sheet Grassland,Grassland
1755,14670,Tamaulipan Floodplain,Riparian
1758,14760,Tamaulipan Riparian Systems,Riparian
1760,14860,Texas-Louisiana Saline Coastal Prairie,Grassland
1764,13070,East Gulf Coastal Plain Northern Dry Upland Hardwood Forest,Hardwood
1765,13250,East Gulf Coastal Plain Northern Mesic Hardwood Slope Forest,Hardwood
1767,13280,East Gulf Coastal Plain Limestone Forest,Hardwood
1771,13530,Southern Appalachian Low-Elevation Pine Forest,Conifer
1773,13680,Southern Piedmont Dry Oak(-Pine) Forest,Hardwood-Conifer
1774,13720,East Gulf Coastal Plain Interior Shortleaf Pine-Oak Forest,Hardwood-Conifer
1775,14300,Southern Coastal Plain Blackland Prairie and Woodland,Grassland
1776,14550,East Gulf Coastal Plain Southern Loblolly-Hardwood Flatwoods,Riparian
1791,14350,East Gulf Coastal Plain Dune and Coastal Grassland,Grassland
1803,14980,Gulf and Atlantic Coastal Plain Sparsely Vegetated Systems,Sparse
1804,13150,Southern Appalachian Oak Forest,Hardwood
1805,13160,Southern Piedmont Mesic Forest,Hardwood
1806,13180,Southern and Central Appalachian Cove Forest,Hardwood
1807,13420,Piedmont Hardpan Woodland and Forest,Hardwood
1808,13510,Southeastern Interior Longleaf Pine Woodland,Conifer
1809,13520,Southern Appalachian Montane Pine Forest and Woodland,Conifer
1814,13090,Southern Appalachian Northern Hardwood Forest,Hardwood
1817,13170,Allegheny-Cumberland Dry Oak Forest and Woodland,Hardwood
1819,13200,Central and Southern Appalachian Montane Oak Forest,Hardwood
1820,13210,South-Central Interior Mesophytic Forest,Hardwood
1821,13500,Central and Southern Appalachian Spruce-Fir Forest,Conifer
1825,13760,Southern Ridge and Valley/Cumberland Dry Calcareous Forest,Hardwood
1826,14140,Southern Appalachian Grass and Shrub Bald,Grassland
1840,13030,Northeastern Interior Dry-Mesic Oak Forest,Hardwood
1842,13240,Northern Atlantic Coastal Plain Hardwood Forest,Hardwood
1848,13550,Northern Atlantic Coastal Plain Pitch Pine Barrens,Conifer
1851,13690,Central Appalachian Dry Oak-Pine Forest,Hardwood-Conifer
1852,13700,Appalachian (Hemlock-)Northern Hardwood Forest,Hardwood
1853,13750,Eastern Serpentine Woodland,Hardwood-Conifer
1854,13770,Central Appalachian Pine-Oak Rocky Woodland,Hardwood-Conifer
1855,13790,Northern Atlantic Coastal Plain Maritime Forest,Hardwood-Conifer
1856,14000,Central Appalachian Alkaline Glade and Woodland,Savanna
1857,14360,Northern Atlantic Coastal Plain Dune and Swale,Grassland
1877,13400,Appalachian Shale Barrens,Hardwood
1897,13730,Acadian Low-Elevation Spruce-Fir-Hardwood Forest,Hardwood-Conifer
1908,15180,North-Central Interior Wet Flatwoods,Hardwood
1929,13740,Acadian-Appalachian Montane Spruce-Fir Forest,Hardwood-Conifer
1942,15260,Laurentian-Acadian Swamp Systems,Riparian
1945,13540,Northeastern Interior Pine Barrens,Conifer
1953,13890,Acadian-Appalachian Subalpine Woodland and Heath-Krummholz,Shrubland
1989,13860,Acadian-Appalachian Alpine Tundra,Shrubland
2000,13050,Southern Interior Low Plateau Dry-Mesic Oak Forest,Hardwood
2008,13630,Central Interior Highlands Dry Acidic Glade and Barrens,Hardwood
2011,14010,Central Interior Highlands Calcareous Glade and Barrens,Grassland
2022,13260,South-Central Interior/Upper Coastal Plain Flatwoods,Hardwood
2030,14570,South-Central Interior/Upper Coastal Plain Wet Flatwoods,Hardwood
2050,14880,Eastern Great Plains Wet Meadow-Prairie-Marsh,Grassland
2068,13060,East Gulf Coastal Plain Northern Loess Plain Oak-Hickory Upland,Hardwood
2080,14130,Bluegrass Savanna and Woodland,Hardwood
2081,14180,Pennyroyal Karst Plain Prairie and Barrens,Grassland
2082,14270,East Gulf Coastal Plain Jackson Plain Prairie and Barrens,Grassland
2107,13970,Nashville Basin Limestone Glade and Woodland,Savanna
2109,14080,Alabama Ketona Glade and Woodland,Hardwood
2110,14160,Western Highland Rim Prairie and Barrens,Grassland
2111,14170,Eastern Highland Rim Prairie and Barrens,Grassland
2136,13120,Ouachita Montane Oak Forest,Hardwood
2146,14151,Arkansas Valley Prairie and Woodland-Prairie,Grassland
2147,14152,Arkansas Valley Prairie and Woodland-Woodland,Grassland
2153,14712,Central Interior and Appalachian Floodplain Systems-Large Floodplains,Riparian
2160,15070,Ozark-Ouachita Shortleaf Pine-Bluestem Woodland,Hardwood-Conifer
2161,16380,Alaska Arctic Mesic Alder Shrubland,Shrubland
2162,16390,Alaska Arctic Mesic-Wet Willow Shrubland,Shrubland
2163,16821,Alaska Arctic Scrub Birch-Ericaceous Shrubland-Infrequent Fire,Shrubland
2164,16830,Alaska Arctic Mesic Sedge-Willow Tundra,Shrubland
2165,16840,Alaska Arctic Mesic Sedge-Dryas Tundra,Grassland
2166,16850,Alaska Arctic Acidic Sparse Tundra,Grassland
2167,16860,Alaska Arctic Non-Acidic Sparse Tundra,Grassland
2168,16870,Alaska Arctic Lichen Tundra,Grassland
2169,16880,Alaska Arctic Acidic Dryas Dwarf-Shrubland,Shrubland
2170,16890,Alaska Arctic Non-Acidic Dryas Dwarf-Shrubland,Shrubland
2171,16902,Alaska Arctic Dwarf-Shrubland - Infrequent Fire,Shrubland
2172,16942,Alaska Arctic Tussock Tundra-Infrequent Fire,Grassland
2173,16970,Alaska Arctic Pendantgrass Freshwater Marsh,Riparian
2174,16980,Alaska Arctic Wet Sedge Meadow,Peatland non-forest
2175,16990,Alaska Arctic Mesic Herbaceous Meadow,Grassland
2176,17010,Alaska Arctic Coastal Sedge-Dwarf-Shrubland,Shrubland
2177,17020,Alaska Arctic Wet Sedge-Sphagnum Peatland,Peatland non-forest
2178,17030,Alaska Arctic Dwarf-Shrub-Sphagnum Peatland,Peatland non-forest
2179,17050,Alaska Arctic Sedge Freshwater Marsh,Riparian
2180,17060,Alaska Arctic Polygonal Ground Wet Sedge Tundra,Grassland
2181,17080,Alaska Arctic Polygonal Ground Shrub-Tussock Tundra,Grassland
2182,17090,Alaska Arctic Marine Beach and Beach Meadow,Grassland
2183,17110,Alaska Arctic Tidal Marsh,Riparian
2185,17150,Alaska Arctic Floodplain,Hardwood
2186,16011,Western North American Boreal Treeline White Spruce Woodland-Boreal,Conifer
2187,16030,Western North American Boreal White Spruce-Hardwood Forest,Conifer-Hardwood
2188,16041,Western North American Boreal Mesic Black Spruce Forest-Boreal,Conifer
2189,16050,Western North American Boreal Mesic Birch-Aspen Forest,Hardwood
2190,16070,Western North American Boreal Subalpine Balsam Poplar-Aspen Woodland,Hardwood
2191,16141,Western North American Boreal Montane Floodplain Forest and Shrubland-Boreal,Conifer-Hardwood
2192,16150,Western North American Boreal Lowland Large River Floodplain Forest and Shrubland,Conifer-Hardwood
2193,16170,Western North American Boreal Shrub and Herbaceous Floodplain Wetland,Peatland non-forest
2194,16211,Western North American Boreal Black Spruce Dwarf-tree Peatland-Boreal Complex,Peatland Forest
2195,16220,Western North American Boreal Black Spruce Wet-Mesic Slope Woodland,Peatland Forest
2196,16300,Western North American Boreal Wet Black Spruce-Tussock Woodland,Peatland Forest
2200,16822,Alaska Arctic Scrub Birch-Ericaceous Shrubland-Frequent Fire,Shrubland
2208,16901,Alaska Arctic Dwarf-Shrubland-Frequent Fire,Shrubland
2210,16941,Alaska Arctic Tussock Tundra-Frequent Fire,Grassland
2218,17040,Alaska Arctic Permafrost Plateau Dwarf-Shrub Lichen Tundra,Peatland non-forest
2224,17130,Alaska Arctic Active Inland Dune,Grassland
2225,17140,Alaska Arctic Large River Floodplain,Hardwood
2233,16090,Alaska Sub-boreal Mesic Subalpine Alder Shrubland,Shrubland
2234,16101,Western North American Boreal Mesic Scrub Birch-Willow Shrubland - Boreal,Shrubland
2235,16110,Western North American Sub-boreal Mesic Bluejoint Meadow,Grassland
2236,16120,Western North American Boreal Dry Grassland,Grassland
2241,16240,Western North American Boreal Deciduous Shrub Swamp,Riparian
2242,16280,Western North American Boreal Low Shrub-Tussock Tundra,Peatland non-forest
2243,16290,Western North American Boreal Tussock Tundra,Peatland non-forest
2245,16310,Western North American Boreal Alpine Dwarf-Shrub Summit,Shrubland
2246,16330,Western North American Boreal Alpine Mesic Herbaceous Meadow,Grassland
2247,16351,Western North American Boreal Alpine Ericaceous Dwarf-Shrubland-Complex,Shrubland
2248,16371,Western North American Boreal Alpine Floodplain - Lower Elevations,Shrubland
2249,16372,Western North American Boreal Alpine Floodplain - Higher Elevations,Shrubland
2273,16061,Western North American Boreal Dry Aspen-Steppe Bluff-Lower Elevations,Hardwood
2274,16062,Western North American Boreal Dry Aspen-Steppe Bluff-Higher Elevations,Shrubland
2276,16080,Alaska Sub-boreal Avalanche Slope Shrubland,Shrubland
2283,16160,Western North American Boreal Riparian Stringer Forest and Shrubland,Riparian
2306,16130,Western North American Boreal Active Inland Dune,Shrubland
2344,16530,Alaskan Pacific Maritime Mesic Herbaceous Meadow,Grassland
2364,17120,Alaska Arctic Coastal Brackish Meadow,Riparian
2367,17170,Alaska Arctic Bedrock and Talus,Sparse
2370,16012,Western North American Boreal Treeline White Spruce Woodland-Alaska Sub-boreal,Conifer
2373,16042,Western North American Boreal Mesic Black Spruce Forest-Alaska Sub-boreal,Conifer
2381,16102,Western North American Boreal Mesic Scrub Birch-Willow Shrubland-Alaska Sub-boreal,Shrubland
2385,16142,Western North American Boreal Montane Floodplain Forest and Shrubland-Alaska Sub-boreal,Conifer-Hardwood
2389,16181,Western North American Boreal Herbaceous Fen-Alaska Sub-Boreal Complex,Peatland non-forest
2391,16212,Western North American Boreal Black Spruce Dwarf-tree Peatland-Alaska Sub-boreal Complex,Peatland Forest
2403,16420,Aleutian Kenai Birch-Cottonwood-Poplar Forest,Hardwood
2404,16430,Alaskan Pacific Maritime Alpine Dwarf-Shrubland,Shrubland
2405,16450,Alaska Sub-boreal and Maritime Alpine Mesic Herbaceous Meadow,Grassland
2406,16440,Alaskan Pacific Maritime Sitka Spruce Forest,Conifer
2407,16460,Alaskan Pacific Maritime Western Hemlock Forest,Conifer
2408,16482,Alaskan Pacific Maritime Mountain Hemlock Forest-Southeast,Conifer
2409,16790,Alaska Sub-boreal White Spruce-Hardwood Forest,Conifer-Hardwood
2471,16481,Alaska Sub-boreal Mountain Hemlock Forest-Northern,Conifer
2473,16500,Alaskan Pacific Maritime Periglacial Woodland and Shrubland,Conifer
2474,16600,Alaskan Pacific Maritime Wet Low Shrubland,Peatland non-forest
2476,16680,Temperate Pacific Tidal Salt and Brackish Marsh,Riparian
2477,16730,Alaskan Pacific Maritime Alpine Wet Meadow,Peatland non-forest
2478,16760,Alaskan Pacific Maritime Alpine Floodplain,Riparian
