VALUE,BPS_CODE,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,FRG_NEW
864,11170,11170_20,Southern Rocky Mountain Ponderosa Pine Savanna,Conifer,392,75,18,14,4,18,78,I-B
865,11250,11250_20_29_30_31_33,Inter-Mountain Basins Big Sagebrush Steppe,Shrubland,92,NA,NA,92,100,NA,NA,IV-A
866,11260,11260_20_29_33,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,50,NA,NA,50,100,NA,NA,IV-A
867,11390,11390_20,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland,20,NA,NA,20,100,NA,NA,II-C
868,11400,11400_20,Northern Rocky Mountain Subalpine-Upper Montane Grassland,Grassland,79,NA,NA,79,100,NA,NA,IV-A
869,11410,11410_20,Northwestern Great Plains Mixedgrass Prairie,Grassland,12,NA,NA,12,100,NA,NA,II-B
870,11450,11450_20,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland,84,NA,NA,84,100,NA,NA,IV-A
871,11480,11480_20_29_30,Western Great Plains Sand Prairie,Grassland,22,NA,NA,22,100,NA,NA,II-C
872,11530,11530_20_22_29_30,Inter-Mountain Basins Greasewood Flat,Shrubland,207,NA,NA,207,100,NA,NA,V-A
873,11590,11590_20,Rocky Mountain Montane Riparian Systems,Riparian,100,115,NA,53,53,47,NA,III-A
874,11600,11600_20_29,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,304,301,NA,151,50,50,NA,III-B
875,11620,11620_20,Western Great Plains Floodplain Systems,Riparian,106,247,246,57,54,23,23,III-A
876,13850,13850_20,Western Great Plains Wooded Draw and Ravine,Shrubland,47,50,83,19,39,38,23,I-C
877,14950,14950_20,Western Great Plains Depressional Wetland Systems,Riparian,50,NA,NA,50,100,NA,NA,IV-A
879,10110,10110_22,Rocky Mountain Aspen Forest and Woodland,Hardwood,163,NA,NA,163,100,NA,NA,IV-B
880,10160,10160_22,Colorado Plateau Pinyon-Juniper Woodland,Conifer,458,215,3310,140,31,65,4,III-B
881,10490,10490_16_22,Rocky Mountain Foothill Limber Pine-Juniper Woodland,Conifer,216,NA,NA,216,100,NA,NA,V-A
882,10500,10500_22,Rocky Mountain Lodgepole Pine Forest,Conifer,169,NA,NA,169,100,NA,NA,IV-B
883,10510,10510_15_16_17_22_23_24_25,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Conifer,90,77,14,11,12,14,74,I-B
884,10540,10540_22,Southern Rocky Mountain Ponderosa Pine Woodland,Conifer,165,49,19,13,8,26,66,I-B
887,10610,10610_22_27_28,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,Hardwood-Conifer,78,73,126,29,37,40,23,I-C
888,10620,10620_22_28,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,Shrubland,229,78,NA,58,25,75,NA,III-A
889,10660,10660_22,Inter-Mountain Basins Mat Saltbush Shrubland,Shrubland,NA,NA,NA,NA,NA,NA,NA,NA
890,10720,10720_22_29,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,Shrubland,331,NA,NA,331,100,NA,NA,V-A
893,10810,10810_22,Inter-Mountain Basins Mixed Salt Desert Scrub,Shrubland,450,NA,NA,450,100,NA,NA,V-A
894,10861,10861_22,Rocky Mountain Lower Montane-Foothill Shrubland-No True Mountain Mahogany,Shrubland,89,NA,NA,89,100,NA,NA,IV-A
895,10862,10862_22,Rocky Mountain Lower Montane-Foothill Shrubland-True Mountain Mahogany,Shrubland,106,NA,NA,106,100,NA,NA,IV-B
896,11060,11060_22,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,81,383,NA,67,83,17,NA,IV-A
898,11260,11260_22,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,86,NA,NA,86,100,NA,NA,IV-A
899,11270,11270_22,Inter-Mountain Basins Semi-Desert Shrub-Steppe,Shrubland,448,NA,NA,448,100,NA,NA,V-A
900,11350,11350_22,Inter-Mountain Basins Semi-Desert Grassland,Grassland,25,NA,NA,25,100,NA,NA,II-C
901,11390,11390_22,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland,66,NA,NA,66,100,NA,NA,IV-A
903,11450,11450_22_24_28,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland,40,161,NA,32,80,20,NA,II-C
905,11590,11590_22,Rocky Mountain Montane Riparian Systems,Riparian,271,NA,79,61,23,NA,77,III-A
906,11620,11620_22,Western Great Plains Floodplain Systems,Riparian,571,125,NA,103,18,82,NA,III-B
907,11660,11660_22,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,207,53,138,32,16,60,24,I-C
910,10140,10140_4_5,Central and Southern California Mixed Evergreen Woodland,Hardwood,335,34,10,8,3,22,75,I-B
915,10430,10430_5,Mediterranean California Mixed Evergreen Forest,Conifer,316,66,11,9,3,14,83,I-B
916,10880,10880_4_5,Sonora-Mojave Mixed Salt Desert Scrub,Shrubland,NA,NA,NA,NA,NA,NA,NA,NA
917,10970,10970_4_5,California Mesic Chaparral,Shrubland,79,NA,NA,79,100,NA,NA,IV-A
918,11050,11050_4_5,Northern and Central California Dry-Mesic Chaparral,Shrubland,50,NA,NA,50,100,NA,NA,IV-A
920,11120,11120_4_5,California Central Valley Mixed Oak Savanna,Hardwood,181,96,14,11,6,12,82,I-B
921,11140,11140_4_5,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,Hardwood,127,150,14,12,9,8,83,I-B
922,11290,11290_4_5,California Central Valley and Southern Coastal Grassland,Grassland,4,NA,NA,4,100,NA,NA,II-A
924,11510,11510_4_5,California Central Valley Riparian Woodland and Shrubland,Riparian,NA,NA,NA,NA,NA,NA,NA,NA
925,11520,11520_4_5,California Montane Riparian Systems,Riparian,100,76,NA,43,43,57,NA,III-A
930,10190,10190_4,Great Basin Pinyon-Juniper Woodland,Conifer,640,467,814,203,32,43,25,V-A
937,10580,10580_4,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,Conifer,282,105,146,50,18,48,34,III-A
941,10920,10920_4,Southern California Coastal Scrub,Shrubland,150,NA,NA,150,100,NA,NA,IV-B
942,10960,10960_4,California Maritime Chaparral,Shrubland,124,NA,NA,124,100,NA,NA,IV-B
944,10980,10980_4,California Montane Woodland and Chaparral,Shrubland,58,121,NA,39,68,32,NA,III-A
945,10990,10990_4,California Xeric Serpentine Chaparral,Shrubland,81,NA,NA,81,100,NA,NA,IV-A
949,11100,11100_4,Southern California Dry-Mesic Chaparral,Shrubland,51,NA,NA,51,100,NA,NA,IV-A
951,11130,11130_4,California Coastal Live Oak Woodland and Savanna,Hardwood,175,31,27,13,8,42,50,I-B
953,11180,11180_4,Southern California Oak Woodland and Savanna,Hardwood,173,43,30,16,9,37,54,I-C
960,11550,11550_4,North American Warm Desert Riparian Systems,Riparian,788,23,NA,23,3,97,NA,I-C
962,11770,11770_4,California Coastal Closed-Cone Conifer Forest and Woodland,Conifer,40,341,NA,36,90,10,NA,IV-A
965,10110,10110_16_23_24,Rocky Mountain Aspen Forest and Woodland,Hardwood,59,50,NA,27,46,54,NA,I-C
966,10120,10120_16_27,Rocky Mountain Bigtooth Maple Ravine Woodland,Hardwood,136,82,NA,51,38,62,NA,III-A
967,10160,10160_16_23_24_25,Colorado Plateau Pinyon-Juniper Woodland,Conifer,435,195,2265,127,29,65,6,III-B
970,10500,10500_16_23_28,Rocky Mountain Lodgepole Pine Forest,Conifer,152,NA,640,123,81,NA,19,IV-B
972,10520,10520_16_23_24,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Conifer,180,89,74,33,19,37,44,I-C
973,10540,10540_16_23_24,Southern Rocky Mountain Ponderosa Pine Woodland,Conifer,280,226,20,17,6,8,86,I-C
974,10550,10550_16_23_24,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,214,7242,NA,208,97,3,NA,V-A
975,10560,10560_16_23,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,217,6998,NA,210,97,3,NA,V-A
976,10570,10570_12_16,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,Conifer,508,NA,199,143,28,NA,72,III-B
977,10611,10611_16_23_24,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland-Low Elevation,Hardwood-Conifer,43,13,NA,10,24,76,NA,I-B
978,10612,10612_16_23,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland-High Elevation,Hardwood-Conifer,70,60,NA,32,46,54,NA,I-C
979,10620,10620_16_23,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,Shrubland,246,137,228,64,26,46,28,III-A
981,10700,10700_16,Rocky Mountain Alpine Dwarf-Shrubland,Shrubland,227,NA,NA,227,100,NA,NA,V-A
985,10810,10810_15_16_23_24_28,Inter-Mountain Basins Mixed Salt Desert Scrub,Shrubland,616,NA,NA,616,100,NA,NA,V-B
988,11020,11020_13_15_16_23_24,Colorado Plateau Pinyon-Juniper Shrubland,Conifer,333,222,127,65,20,29,51,III-A
990,11071,11071_16,Rocky Mountain Gambel Oak-Mixed Montane Shrubland -Continuous,Shrubland,57,162,NA,42,74,26,NA,III-A
991,11072,11072_16,Rocky Mountain Gambel Oak-Mixed Montane Shrubland-Patchy,Shrubland,153,51,NA,39,25,75,NA,III-A
992,11150,11150_15_16_23_24,Inter-Mountain Basins Juniper Savanna,Conifer,333,218,126,64,20,29,51,III-A
993,11170,11170_16_23_24,Southern Rocky Mountain Ponderosa Pine Savanna,Conifer,158,80,9,8,5,10,85,I-B
996,11262,11262_16_23,Inter-Mountain Basins Montane Sagebrush Steppe-Low Sagebrush,Shrubland,219,NA,NA,219,100,NA,NA,V-A
997,11270,11270_16_23_24_25,Inter-Mountain Basins Semi-Desert Shrub-Steppe,Shrubland,105,NA,NA,105,100,NA,NA,IV-B
998,11350,11350_16_23_24,Inter-Mountain Basins Semi-Desert Grassland,Grassland,25,NA,NA,25,100,NA,NA,II-C
1000,11450,11450_16,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland,40,160,NA,32,80,20,NA,II-C
1002,11530,11530_16_23_24_25_27,Inter-Mountain Basins Greasewood Flat,Shrubland,208,NA,NA,208,100,NA,NA,V-A
1004,11590,11590_16_23_24_26,Rocky Mountain Montane Riparian Systems,Riparian,270,NA,79,61,23,NA,77,III-A
1005,11600,11600_16,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,271,NA,80,61,23,NA,77,III-A
1018,10570,10570_23,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,Conifer,502,NA,200,143,29,NA,71,III-B
1032,11040,11040_23_24,Mogollon Chaparral,Shrubland,47,370,NA,42,89,11,NA,IV-A
1033,11070,11070_23_24,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,Shrubland,51,150,NA,38,74,26,NA,III-A
1044,11600,11600_23,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,274,NA,79,62,22,NA,78,III-A
1055,10330,10330_12,Mediterranean California Subalpine Woodland,Conifer,349,78,NA,64,18,82,NA,III-A
1056,10520,10520_12,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Conifer,186,91,72,33,18,36,46,I-C
1058,10580,10580_12,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,Conifer,159,51,466,36,23,69,8,III-A
1075,11590,11590_12_17,Rocky Mountain Montane Riparian Systems,Riparian,379,NA,NA,379,100,NA,NA,V-A
1076,11600,11600_12_17,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,271,NA,79,61,23,NA,77,III-A
1080,10160,10160_17,Colorado Plateau Pinyon-Juniper Woodland,Conifer,427,194,2177,126,29,65,6,III-B
1084,10520,10520_17,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Conifer,184,91,72,33,18,36,46,I-C
1085,10540,10540_17,Southern Rocky Mountain Ponderosa Pine Woodland,Conifer,257,39,28,15,6,39,55,I-B
1086,10550,10550_17,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,176,16701,NA,174,99,1,NA,IV-B
1097,11040,11040_17,Mogollon Chaparral,Shrubland,50,NA,NA,50,100,NA,NA,IV-A
1098,11070,11070_17,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,Shrubland,153,52,NA,39,25,75,NA,III-A
1099,11080,11080_17,Sonora-Mojave Semi-Desert Chaparral,Shrubland,50,NA,NA,50,100,NA,NA,IV-A
1100,11150,11150_17,Inter-Mountain Basins Juniper Savanna,Conifer,815,428,553,186,23,43,34,III-B
1106,11450,11450_17,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland,40,NA,NA,40,100,NA,NA,IV-A
1116,10240,10240_14_15_24,Madrean Lower Montane Pine-Oak Forest and Woodland,Conifer,125,191,33,23,19,12,69,I-C
1122,10590,10590_24_28,Southern Rocky Mountain Pinyon-Juniper Woodland,Conifer,435,200,1930,128,29,64,7,III-B
1134,11160,11160_24,Madrean Juniper Savanna,Conifer,139,214,101,46,33,21,46,III-A
1136,11190,11190_24_25,Southern Rocky Mountain Juniper Woodland and Savanna,Conifer,503,217,32,26,5,12,83,I-C
1137,11210,11210_24,Apacherian-Chihuahuan Semi-Desert Grassland and Steppe,Grassland,10,NA,42,8,81,NA,19,II-B
1146,10110,10110_28,Rocky Mountain Aspen Forest and Woodland,Hardwood,145,1732,844,116,79,7,14,IV-B
1147,10160,10160_15_28,Colorado Plateau Pinyon-Juniper Woodland,Conifer,430,194,2245,126,29,65,6,III-B
1150,10510,10510_28,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Conifer,325,54,32,19,6,35,59,I-C
1151,10520,10520_28,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Conifer,202,144,153,54,27,38,35,III-A
1152,10540,10540_28,Southern Rocky Mountain Ponderosa Pine Woodland,Conifer,505,159,24,20,4,13,83,I-C
1153,10550,10550_15_28,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,199,435,NA,137,69,31,NA,IV-B
1154,10560,10560_15_28,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,199,435,NA,137,69,31,NA,IV-B
1155,10570,10570_28,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,Conifer,499,202,NA,144,29,71,NA,III-B
1163,10860,10860_28,Rocky Mountain Lower Montane-Foothill Shrubland,Shrubland,73,210,NA,54,74,26,NA,III-A
1164,11020,11020_28,Colorado Plateau Pinyon-Juniper Shrubland,Conifer,431,192,2125,125,29,65,6,III-B
1165,11070,11070_25_28,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,Shrubland,50,171,NA,39,77,23,NA,III-A
1166,11150,11150_28,Inter-Mountain Basins Juniper Savanna,Conifer,337,434,276,112,33,26,41,III-B
1167,11170,11170_13_15_28,Southern Rocky Mountain Ponderosa Pine Savanna,Conifer,368,NA,11,11,3,NA,97,I-B
1168,11190,11190_28,Southern Rocky Mountain Juniper Woodland and Savanna,Conifer,501,212,32,26,6,12,82,I-C
1171,11270,11270_28,Inter-Mountain Basins Semi-Desert Shrub-Steppe,Shrubland,120,NA,NA,120,100,NA,NA,IV-B
1172,11350,11350_15_28,Inter-Mountain Basins Semi-Desert Grassland,Grassland,77,37,NA,25,33,67,NA,I-C
1177,11530,11530_28,Inter-Mountain Basins Greasewood Flat,Shrubland,204,NA,NA,204,100,NA,NA,V-A
1178,11590,11590_28,Rocky Mountain Montane Riparian Systems,Riparian,270,NA,79,61,23,NA,77,III-A
1179,11600,11600_15_28,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,273,NA,80,62,23,NA,77,III-A
1181,10110,10110_15,Rocky Mountain Aspen Forest and Woodland,Hardwood,146,1774,841,116,79,7,14,IV-B
1183,10190,10190_15,Great Basin Pinyon-Juniper Woodland,Conifer,475,335,765,156,33,47,20,III-B
1187,10260,10260_15,Madrean Upper Montane Conifer-Oak Forest and Woodland,Conifer,305,62,13,10,4,16,80,I-B
1189,10520,10520_15,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Conifer,186,90,72,33,18,37,45,I-C
1190,10540,10540_15_25,Southern Rocky Mountain Ponderosa Pine Woodland,Conifer,396,108,10,9,2,9,89,I-B
1193,10610,10610_15_25,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,Hardwood-Conifer,43,20,110,12,28,61,11,I-B
1194,10770,10770_15,Chihuahuan Succulent Desert Scrub,Shrubland,347,NA,NA,347,100,NA,NA,V-A
1199,10910,10910_15,Sonoran Mid-Elevation Desert Scrub,Shrubland,355,NA,NA,355,100,NA,NA,V-A
1200,11000,11000_15,Chihuahuan Mixed Desert and Thorn Scrub,Shrubland,567,802,NA,332,59,41,NA,V-A
1202,11040,11040_15,Mogollon Chaparral,Shrubland,80,NA,2171,77,96,NA,4,IV-A
1203,11070,11070_15,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,Shrubland,50,174,NA,39,78,22,NA,III-A
1204,11090,11090_15_25,Sonoran Paloverde-Mixed Cacti Desert Scrub,Shrubland,1049,NA,NA,1049,100,NA,NA,V-B
1206,11160,11160_15_25,Madrean Juniper Savanna,Conifer,136,208,106,46,34,22,44,III-A
1208,11210,11210_15,Apacherian-Chihuahuan Semi-Desert Grassland and Steppe,Grassland,10,NA,40,8,80,NA,20,II-B
1209,11270,11270_15,Inter-Mountain Basins Semi-Desert Shrub-Steppe,Shrubland,118,NA,NA,118,100,NA,NA,IV-B
1212,11550,11550_15,North American Warm Desert Riparian Systems,Riparian,777,83,NA,75,10,90,NA,III-A
1214,11590,11590_15,Rocky Mountain Montane Riparian Systems,Riparian,54,NA,8,7,12,NA,88,I-B
1222,10460,10460_18,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,227,385,57,41,18,11,71,III-A
1223,10500,10500_18,Rocky Mountain Lodgepole Pine Forest,Conifer,151,NA,643,122,81,NA,19,IV-B
1225,10520,10520_18,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Conifer,186,90,72,33,18,37,45,I-C
1226,10550,10550_18,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,175,686,NA,139,80,20,NA,IV-B
1227,10560,10560_18,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,176,683,NA,140,80,20,NA,IV-B
1228,10570,10570_18,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,Conifer,504,NA,198,142,28,NA,72,III-B
1229,10610,10610_18,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,Hardwood-Conifer,76,45,NA,28,37,63,NA,I-C
1235,11060,11060_18,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,101,78,NA,44,44,56,NA,III-A
1244,11540,11540_18,Inter-Mountain Basins Montane Riparian Systems,Riparian,174,NA,NA,174,100,NA,NA,IV-B
1245,11590,11590_18,Rocky Mountain Montane Riparian Systems,Riparian,174,NA,NA,174,100,NA,NA,IV-B
1246,11600,11600_18,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,67,NA,113,42,63,NA,37,III-A
1250,10480,10480_29,Northwestern Great Plains Highland White Spruce Woodland,Conifer,270,119,45,29,11,24,65,I-C
1252,10510,10510_29,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Conifer,94,77,14,11,11,14,75,I-B
1253,10540,10540_29,Southern Rocky Mountain Ponderosa Pine Woodland,Conifer,303,265,20,18,6,7,87,I-C
1254,10550,10550_29,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,113,NA,NA,113,100,NA,NA,IV-B
1255,10560,10560_29,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,349,1073,NA,263,75,25,NA,V-A
1256,10570,10570_29,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,Conifer,499,NA,999,333,67,NA,33,V-A
1259,10660,10660_29,Inter-Mountain Basins Mat Saltbush Shrubland,Shrubland,440,NA,NA,440,100,NA,NA,V-A
1261,10850,10850_29_30,Northwestern Great Plains Shrubland,Shrubland,15,NA,NA,15,100,NA,NA,II-B
1262,10860,10860_29,Rocky Mountain Lower Montane-Foothill Shrubland,Shrubland,106,NA,NA,106,100,NA,NA,IV-B
1264,11170,11170_29,Southern Rocky Mountain Ponderosa Pine Savanna,Conifer,382,NA,16,15,4,NA,96,I-B
1267,11390,11390_29,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland,35,NA,NA,35,100,NA,NA,II-C
1268,11400,11400_29,Northern Rocky Mountain Subalpine-Upper Montane Grassland,Grassland,79,NA,NA,79,100,NA,NA,IV-A
1269,11410,11410_29_30,Northwestern Great Plains Mixedgrass Prairie,Grassland,13,NA,NA,13,100,NA,NA,II-B
1270,11450,11450_29,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland,84,NA,NA,84,100,NA,NA,IV-A
1272,11490,11490_29,Western Great Plains Shortgrass Prairie,Grassland,21,NA,NA,21,100,NA,NA,II-C
1274,11590,11590_29,Rocky Mountain Montane Riparian Systems,Riparian,99,117,NA,54,54,46,NA,III-A
1276,11620,11620_29_30,Western Great Plains Floodplain Systems,Riparian,111,148,259,51,46,34,20,III-A
1277,11660,11660_29,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,210,109,24,18,9,17,74,I-C
1278,11791,11791_29_30,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna-Low Elevation Woodland,Conifer,307,263,20,18,6,7,87,I-C
1279,11792,11792_29_30,Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna-Savanna,Conifer,387,NA,15,15,4,NA,96,I-B
1280,13850,13850_29_30,Western Great Plains Wooded Draw and Ravine,Shrubland,72,38,80,19,26,50,24,I-C
1291,14820,14820_30,Great Plains Prairie Pothole,Grassland,50,NA,NA,50,100,NA,NA,IV-A
1292,14950,14950_30,Western Great Plains Depressional Wetland Systems,Riparian,50,NA,NA,50,100,NA,NA,IV-A
1293,13300,13300_46_48_54_55_56_99,Southern Coastal Plain Dry Upland Hardwood Forest,Hardwood,197,98,8,7,4,7,89,I-B
1294,13350,13350_55_58_60,Atlantic Coastal Plain Dry and Dry-Mesic Oak Forest,Hardwood,198,98,8,7,4,7,89,I-B
1295,13430,13430_54_55,Atlantic Coastal Plain Mesic Hardwood Forest,Hardwood,394,159,52,36,9,22,69,III-A
1296,13460,13460_54_55_58,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland,Conifer,132,369,4,4,3,1,96,I-A
1297,13470,13470_55_58_60,Atlantic Coastal Plain Upland Longleaf Pine Woodland,Conifer,131,376,4,4,3,1,96,I-A
1298,13490,13490_46_48_54_55_99,East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland,Conifer,116,766,3,3,3,1,96,I-A
1299,13560,13560_55_56_99,Florida Longleaf Pine Sandhill,Conifer,190,14720,3,3,1,1,98,I-A
1300,13570,13570_46_47_55_58_99,Southern Coastal Plain Mesic Slope Forest,Hardwood,402,159,52,35,9,22,69,I-C
1301,13800,13800_55_99,East Gulf Coastal Plain Maritime Forest,Hardwood-Conifer,119,1658,36,27,23,2,75,I-C
1302,13820,13820_55_58,Southern Atlantic Coastal Plain Maritime Forest,Hardwood-Conifer,69,882,14,12,17,1,82,I-B
1303,13870,13870_55_56,Florida Peninsula Inland Scrub,Shrubland,33,1277,NA,33,97,3,NA,II-C
1304,14500,14500_55_58,Southern Atlantic Coastal Plain Wet Pine Savanna and Flatwoods,Riparian,100,483,3,3,3,1,96,I-A
1305,14530,14530_55_56,Central Florida Pine Flatwoods,Riparian,84,8941,2,2,3,1,96,I-A
1306,14540,14540_55_56_99,East Gulf Coastal Plain Near-Coast Pine Flatwoods,Riparian,100,482,3,3,3,1,96,I-A
1307,14600,14600_55_56_99,Southern Coastal Plain Nonriverine Cypress Dome,Riparian,126,NA,10,9,7,NA,93,I-B
1308,14610,14610_46_55_56_99,Southern Coastal Plain Seepage Swamp and Baygall,Riparian,297,356,NA,162,55,45,NA,III-B
1309,14680,14680_46_55_58_99,Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall,Riparian,58,23,16,8,14,35,51,I-B
1310,14730,14730_55_58_60,Gulf and Atlantic Coastal Plain Floodplain Systems,Riparian,114,NA,101,54,47,NA,53,III-A
1311,14740,14740_46_47_48_55_56_58_60_99,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,Riparian,477,202,131,68,14,34,52,III-A
1312,14800,14800_55_99,Gulf and Atlantic Coastal Plain Swamp Systems,Riparian,NA,NA,221,221,NA,NA,100,V-A
1313,14850,14850_55_99,East Gulf Coastal Plain Savanna and Wet Prairie,Savanna,164,511,3,3,2,1,97,I-A
1314,14890,14890_55_56_99,Floridian Highlands Freshwater Marsh,Riparian,5,69,NA,5,93,7,NA,II-A
1315,14900,14900_55_56_58_99,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,Riparian,5,288,NA,5,98,2,NA,II-A
1317,13330,13330_56,South Florida Hardwood Hammock,Hardwood,174,387,NA,120,69,31,NA,IV-B
1318,13360,13360_56,Southwest Florida Coastal Strand and Maritime Hammock,Hardwood,NA,455,10,10,NA,2,98,I-B
1319,13370,13370_56,Southeast Florida Coastal Strand and Maritime Hammock,Hardwood,NA,245,16,15,NA,6,94,I-B
1321,13600,13600_56,South Florida Pine Rockland,Conifer,428,186,4,4,1,2,97,I-A
1323,14250,14250_56,Florida Dry Prairie,Grassland,2,38,19,2,85,5,10,II-A
1324,14450,14450_56,South Florida Dwarf Cypress Savanna,Savanna,119,74,36,20,17,27,56,I-C
1325,14460,14460_56,South Florida Pine Flatwoods,Conifer,50,1124,3,3,6,1,93,I-A
1326,14470,14470_56,South Florida Cypress Dome,Riparian,127,NA,10,9,7,NA,93,I-B
1331,14700,14700_56,Caribbean Coastal Wetland Systems,Riparian,127,363,NA,94,74,26,NA,III-A
1333,14780,14780_56,Caribbean Swamp Systems,Riparian,1379,NA,NA,1379,100,NA,NA,V-B
1334,14800,14800_46_56_58_60_64_65_66,Gulf and Atlantic Coastal Plain Swamp Systems,Riparian,NA,NA,221,221,NA,NA,100,V-A
1335,14830,14830_56,South Florida Everglades Sawgrass Marsh,Riparian,3,NA,76,3,96,NA,4,II-A
1341,10240,10240_25_27,Madrean Lower Montane Pine-Oak Forest and Woodland,Conifer,60,30,11,7,12,23,65,I-B
1344,10520,10520_25,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Conifer,182,90,73,33,18,37,45,I-C
1346,10590,10590_25,Southern Rocky Mountain Pinyon-Juniper Woodland,Conifer,243,253,107,58,24,23,53,III-A
1348,10740,10740_25_26,Chihuahuan Creosotebush Desert Scrub,Shrubland,NA,NA,NA,NA,NA,NA,NA,NA
1349,10750,10750_25,Chihuahuan Mixed Salt Desert Scrub,Shrubland,706,805,NA,376,53,47,NA,V-A
1350,10770,10770_25_26,Chihuahuan Succulent Desert Scrub,Shrubland,160,NA,NA,160,100,NA,NA,IV-B
1354,10910,10910_25,Sonoran Mid-Elevation Desert Scrub,Shrubland,374,NA,NA,374,100,NA,NA,V-A
1355,10940,10940_25,Western Great Plains Sandhill Steppe,Shrubland,16,NA,NA,16,100,NA,NA,II-C
1356,11002,11002_25,Chihuahuan Mixed Desert and Thorn Scrub-Shrubland,Shrubland,841,NA,NA,841,100,NA,NA,V-B
