VALUE,BPS_CODE,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,FRG_NEW
516,11260,11260_13,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,49,NA,NA,49,100,NA,NA,IV-A
518,11350,11350_13_14,Inter-Mountain Basins Semi-Desert Grassland,Grassland,119,NA,NA,119,100,NA,NA,IV-B
519,11450,11450_13,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland,40,159,NA,32,80,20,NA,II-C
521,11540,11540_13,Inter-Mountain Basins Montane Riparian Systems,Riparian,68,NA,NA,68,100,NA,NA,IV-A
522,11550,11550_13_14,North American Warm Desert Riparian Systems,Riparian,785,23,NA,23,3,97,NA,I-C
523,11552,11552_13_14_15,North American Warm Desert Riparian Systems-Stringers,Riparian,735,NA,NA,735,100,NA,NA,V-B
528,10230,10230_14_15_24_25,Madrean Encinal,Conifer,125,191,33,23,18,13,69,I-C
530,10250,10250_14_15_24_25_26,Madrean Pinyon-Juniper Woodland,Conifer,136,209,104,46,34,22,44,III-A
533,10820,10820_14,Mojave Mid-Elevation Mixed Desert Scrub,Shrubland,406,NA,NA,406,100,NA,NA,V-A
535,10880,10880_12_13_14_25,Sonora-Mojave Mixed Salt Desert Scrub,Shrubland,NA,NA,NA,NA,NA,NA,NA,NA
536,10900,10900_14,Sonoran Granite Outcrop Desert Scrub,Shrubland,513,NA,NA,513,100,NA,NA,V-B
538,11040,11040_13_14_25,Mogollon Chaparral,Shrubland,77,NA,NA,77,100,NA,NA,IV-A
540,11090,11090_14,Sonoran Paloverde-Mixed Cacti Desert Scrub,Shrubland,1056,NA,NA,1056,100,NA,NA,V-B
541,11150,11150_14,Inter-Mountain Basins Juniper Savanna,Conifer,836,439,555,189,23,43,34,III-B
542,11210,11210_14,Apacherian-Chihuahuan Semi-Desert Grassland and Steppe,Grassland,10,NA,40,8,80,NA,20,II-B
547,10080,10080_1_2_3_7,North Pacific Oak Woodland,Hardwood,293,37,14,10,3,26,71,I-B
548,10150,10150_2_3_4,California Coastal Redwood Forest,Conifer,408,NA,32,30,7,NA,93,I-C
549,10210,10210_2_3_6_7,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,Conifer,229,70,11,9,5,13,82,I-B
550,10220,10220_2_3_6_7,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,Conifer,231,70,11,9,5,13,82,I-B
551,10270,10270_2_3_7,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Conifer,337,32,12,8,3,26,71,I-B
552,10280,10280_2_3,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Conifer,237,47,25,15,6,33,61,I-B
553,10290,10290_2_3_4_5_6_7_12,Mediterranean California Mixed Oak Woodland,Hardwood,285,33,11,8,3,25,72,I-B
554,10300,10300_2_3_4_5_6_7,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,Conifer,176,38,15,10,6,27,67,I-B
555,10310,10310_2_3_4_5_6_12,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,Conifer,165,84,11,9,6,11,83,I-B
556,10320,10320_2_3_7,Mediterranean California Red Fir Forest,Conifer,189,58,58,25,14,43,43,I-C
557,10330,10330_3_6_7,Mediterranean California Subalpine Woodland,Conifer,475,566,NA,258,54,46,NA,V-A
558,10390,10390_1_2_3_7,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Conifer,404,NA,NA,404,100,NA,NA,V-A
560,10440,10440_3_6_7,Northern California Mesic Subalpine Woodland,Conifer,504,929,NA,327,65,35,NA,V-A
561,10960,10960_3,California Maritime Chaparral,Shrubland,108,NA,NA,108,100,NA,NA,IV-B
562,10970,10970_3_6_7,California Mesic Chaparral,Shrubland,54,NA,NA,54,100,NA,NA,IV-A
563,10980,10980_3,California Montane Woodland and Chaparral,Shrubland,94,54,NA,34,37,63,NA,I-C
564,10990,10990_3,California Xeric Serpentine Chaparral,Shrubland,80,NA,NA,80,100,NA,NA,IV-A
565,11050,11050_3_6_7,Northern and Central California Dry-Mesic Chaparral,Shrubland,74,NA,NA,74,100,NA,NA,IV-A
566,11130,11130_3,California Coastal Live Oak Woodland and Savanna,Hardwood,174,31,27,13,8,42,50,I-B
567,11140,11140_3_6_7,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,Hardwood,128,572,10,9,7,2,91,I-B
568,11280,11280_2_3_4,Northern California Coastal Scrub,Shrubland,110,NA,NA,110,100,NA,NA,IV-B
569,11300,11300_3_4,California Mesic Serpentine Grassland,Grassland,7,NA,NA,7,100,NA,NA,II-B
570,11310,11310_2_3_4,California Northern Coastal Grassland,Grassland,2,NA,NA,2,100,NA,NA,II-A
571,11370,11370_3_6,Mediterranean California Subalpine Meadow,Grassland,40,161,NA,32,80,20,NA,II-C
572,11380,11380_3_5,North Pacific Montane Grassland,Grassland,64,NA,NA,64,100,NA,NA,IV-A
573,11520,11520_2_3_7,California Montane Riparian Systems,Riparian,64,79,NA,35,55,45,NA,I-C
574,11630,11630_3_4_5,Pacific Coastal Marsh Systems,Riparian,15,35,NA,11,69,31,NA,II-B
575,11700,11700_2_3_7,Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,Conifer,201,NA,14,13,7,NA,93,I-B
576,11770,11770_3,California Coastal Closed-Cone Conifer Forest and Woodland,Conifer,45,85,85,22,48,26,26,I-C
580,10170,10170_6_7_8_9_12_18,Columbia Plateau Western Juniper Woodland and Savanna,Conifer,445,272,NA,169,38,62,NA,III-B
581,10190,10190_6_7_9_12_16_17_18_19,Great Basin Pinyon-Juniper Woodland,Conifer,865,898,NA,440,51,49,NA,V-A
582,10200,10200_6_9_12_17,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,Conifer,497,NA,200,143,29,NA,71,III-B
584,10270,10270_4_5_6,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Conifer,150,35,17,11,7,31,62,I-B
585,10280,10280_4_6_7_12,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Conifer,148,46,33,17,12,37,51,I-C
589,10321,10321_6,Mediterranean California Red Fir Forest-Cascades,Conifer,149,176,58,34,23,19,58,I-C
590,10322,10322_6,Mediterranean California Red Fir Forest-Southern Sierra,Conifer,294,317,78,52,18,16,66,III-A
592,10340,10340_4_6_7,Mediterranean California Mesic Serpentine Woodland and Chaparral,Shrubland,182,108,NA,68,37,63,NA,III-A
593,10431,10431_2_3_6_7,Mediterranean California Mixed Evergreen Forest-Interior,Conifer,165,46,23,14,9,30,61,I-B
595,10510,10510_6,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Conifer,91,76,14,11,12,14,74,I-B
